text,label
My card is not working.,card_not_working
What is the time frame for european transfers?,transfer_timing
Please explain why the funds I added were returned to my account.,top_up_reverted
"When I used one of the ATMs in the city centre today, I tried to take out some money, but for whatever reason, the machine declined my card. Just checked it out in my account and that amount is still showing as pending! Is there any way that you can cancel this transaction, because I did not receive any money whatsoever from the ATM",pending_cash_withdrawal
How long does it typically take to make a transfer from a UK bank? I just made one and it hasn't shown up in my account yet.,balance_not_updated_after_bank_transfer
"Please, I need your help as to whether or not you have money for a large refunded purchase I made. I requested it some time ago from the seller, but nothing is showing up.",Refund_not_showing_up
How long will it take for my top up to work? It's still pending,pending_top_up
How do you top-up using cash?,top_up_by_cash_or_cheque
I deposited a cheque and its been days and I still haven't received the cash!!,balance_not_updated_after_cheque_or_cash_deposit
How can I transfer money between accounts?,transfer_into_account
How can my boss pay me directly to the card?,receiving_money
Can I use my card to withdraw from my account?,atm_support
"Hello, I was just went through my recent transaction on my bank account and I just noticed that I was charged twice at a place that ate at this past week. Can I get that second transaction removed from my account?",transaction_charged_twice
"Someone is making transactions on my account, I think they took my card information.",compromised_card
Can you tell me what the disposable cards are used for?,get_disposable_virtual_card
Someone must have found my card details as I don't recognize these transactions.,compromised_card
Please provide details on how to top up my account using transfer option,transfer_into_account
Will there be any extra fees if I exchange currencies?,exchange_charge
"When I withdrew my money, why was there an extra charge?",cash_withdrawal_charge
What is the wait time until money reaches my account?,transfer_timing
How long will this take to get to me?,card_delivery_estimate
Why has my top-up failed?,top_up_failed
There is a payment on my card that I do not recognize.,card_payment_not_recognised
I transferred some money to a friend of mine who urgently needs some money right now. How long will it take to get to her?,transfer_not_received_by_recipient
"It looks like someone besides me ordered something with my card, what should I do?",compromised_card
Please help! I need a refund on a transaction on something I bought and I need the refund right away!,request_refund
Can I order a new card?  Mine is about to expire.,card_about_to_expire
An incorrect exchange rate was applied to an item I bought.,card_payment_wrong_exchange_rate
I'm being asked for a verification code. Where do I find it?,verify_top_up
I can't use the app because I got mugged yesterday and they took everything. I need some help.,lost_or_stolen_phone
The app doesn't think it's me.,unable_to_verify_identity
I used my card to top-up but the money is gone!,topping_up_by_card
I'm waiting for my transaction to complete.,transfer_not_received_by_recipient
Why is there a fee for my transfer?,transfer_fee_charged
What do I do if the ATM took my card?,card_swallowed
My statement is showing I was Charged a dollar and I am not sure why.,extra_charge_on_statement
Help me unblock my account.  I entered the PIN wrong too many times.,pin_blocked
How do I cancel a transfer?,cancel_transfer
Is there a way to top up using my Apple Watch?,apple_pay_or_google_pay
"I received my card, how do I get it to show in the app?",card_linking
Do I need to do anything special for my friend to send money to my account?,receiving_money
I would like to receive my salary in a different currency. How does that work?,receiving_money
When should I expect to receive my card?,card_delivery_estimate
Does it cost to top up my card?,top_up_by_card_charge
I'm pretty sure my top up is still pending.,pending_top_up
What is the procedure for depositing a virtual card,get_disposable_virtual_card
How long do European transfers take?,transfer_timing
While on vacation I used an ATM to get cash and was overcharged. These charges are ridiculous and had I known about them I would have never used it.,wrong_exchange_rate_for_cash_withdrawal
My salary is deposited in GBP. Do I need to choose the currency?,receiving_money
I wanted to know why a top-up I made has been reverted.,top_up_reverted
How did you guys get your exchange rate?,exchange_rate
I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this?,card_payment_fee_charged
It seems I need to get information on limits for top-ups.,top_up_limits
What happened to my top-up? I think it was cancelled.,top_up_reverted
"How long does it take for transfers to be approved?  I sent funds to my girlfriend, and she says that she has not seen any approved funds in her account.",transfer_not_received_by_recipient
I purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though I've already received one of the items. Can you tell me what's going on?,reverted_card_payment?
Can you change the rate for the item I bought in a different currency as it is wrong?,card_payment_wrong_exchange_rate
Can you make sure I get a MasterCard and not a Visa?,visa_or_mastercard
I couldn't make a transfer because it was declined,declined_transfer
"I'm expecting a large refund from a store I returned merchandise to recently.  They say they have sent the money but I don't see it in my account, can you help.",Refund_not_showing_up
I entered the correct pin but I still couldnt get funds.,declined_cash_withdrawal
Where do I order a virtual card?,getting_virtual_card
Why are you charging me fees for using my card?,card_payment_fee_charged
I need my card to be activated right now.,activate_my_card
"I am not supposed to be charged a cash withdrawal fee, but I was.",cash_withdrawal_charge
Why does my identity need verification?,why_verify_identity
Can you tell me why my pop-up is still pending?,pending_top_up
I took out money and there is a fee.  Why?,cash_withdrawal_charge
Will the PIN come separately?,get_physical_card
Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong?,beneficiary_not_allowed
Why is there a $1 charge on my statement?,extra_charge_on_statement
What steps do I have to go through in order to activate my new card?,activate_my_card
My transfer isn't in,transfer_not_received_by_recipient
"Would you please unblock my pin? I don't know why, but it's blocked.",pin_blocked
"I tempted to get some money out of the machine earlier and it did not work.Looking now, the transaction actually shows to still be in progress. I would certainly appreciate someone look into this and let me know what's going on. I definitely do not want to be charged for money I never received.",pending_cash_withdrawal
I think my top up was reversed.,top_up_reverted
"Yesterday, I made an incorrect payment to the wrong account for my rent payment. I need this addressed as soon as possible and the funds transferred to the correct account by no later than tomorrow.",cancel_transfer
Can I have a tangible form of my virtual card.,order_physical_card
Will I see fees from adding money with an international card?,top_up_by_card_charge
"Would you be able to offer me a discount, since I need to exchange currencies frequently?",exchange_charge
Can I have money of different country of origin.,fiat_currency_support
You sent me a card and now I want to link it.,card_linking
need to know where money comes from,verify_source_of_funds
Will you charge for a physical card?,order_physical_card
When can I expect delivery?,card_delivery_estimate
my phone has been stolen by someone,lost_or_stolen_phone
I have tried sending a standard transfer five times and it hasn't gone through. What is the problem?,failed_transfer
how do i dispute a payment I didnt make,card_payment_not_recognised
my refund has not hit my account yet,Refund_not_showing_up
The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,card_payment_wrong_exchange_rate
where can i located the auto top up function?,automatic_top_up
Is it possible to exchange currencies using the app?,exchange_via_app
can i use both visa and mastercard,visa_or_mastercard
Is there a limit to the number of disposable cards I can have?,disposable_card_limits
Will I get a Visa card or Mastercard?,visa_or_mastercard
Can it be delivered on a certain date?,card_delivery_estimate
One of my card payments has reverted,reverted_card_payment?
What age do you have to be?,age_limit
My top-up hasn't gone through,pending_top_up
"I'm having money transferred from Europe, how long will this take?",transfer_timing
I left my phone somewhere and can't use the app.,lost_or_stolen_phone
The exchange rate that was applied for an international purchase was wrong.,card_payment_wrong_exchange_rate
I cannot find my PIN.,get_physical_card
Can I use google pay for topping -up,apple_pay_or_google_pay
"Someone has copied my card. I have my card with me, but someone just made a 500£ cash withdrawal. Please help now.",cash_withdrawal_not_recognised
My top-up was reverted by the app.,top_up_reverted
I have questions about how to transfer money to my account.,transfer_into_account
Can I exchange from USD to GBP?,exchange_via_app
How can I find out the source of my available cash?,verify_source_of_funds
Do you support other currencies?,fiat_currency_support
"I used my card to make a payment a while ago and its still pending, Why is it taking so long?",pending_card_payment
There is a payment I don't recognise!,direct_debit_payment_not_recognised
Someone hacked into my cards account.,compromised_card
What is your shipping policies for cards?,card_delivery_estimate
The seller of the items I bought online the other day hasn't received the EU transfer yet. How long do these usually take?,pending_transfer
Why did my top-up get reverted?,top_up_reverted
Why hasn't my account updated?,balance_not_updated_after_cheque_or_cash_deposit
There is a payment with my card which i definitely did not make by me .Never seen that it before.,card_payment_not_recognised
"I'm trying to make a payment to my new landlord. Even though the payment was sent a few days ago, it isn't clearing on their side. Can you verify that payment has been made?",transfer_not_received_by_recipient
I don't recognize the direct debit payment from the app.,direct_debit_payment_not_recognised
How will I know what the exchange rate is?,exchange_rate
"I need to get a card, how do I do that?",order_physical_card
I didn't cancel my top-up.,top_up_reverted
How can I get cash back? The ATM just gave me the wrong amount that I've been actually charged though...,wrong_amount_of_cash_received
When shipped to the US how long is delivery time?,card_delivery_estimate
I have been overcharged.,transaction_charged_twice
How to unblock my PIN?,pin_blocked
There is a cash withdrawal on my statement that I don't recognize,cash_withdrawal_not_recognised
Do I have a limit to the number of top-ups per day?,top_up_limits
What about my children?,age_limit
My PIN was entered wrong and now I am blocked.  Please unblock.,pin_blocked
I'm still waiting for my transaction.,transfer_not_received_by_recipient
How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move,pending_card_payment
Why do transfers get declined?,declined_transfer
is there a way to do automatic top up,automatic_top_up
Is there a fee to top up a US card using a debit or credit card?,top_up_by_card_charge
What steps do I need to get another card?,getting_spare_card
Someone took my card without permission,lost_or_stolen_card
My card was declined at a restaurant today and I don't know what the problem is.,card_not_working
What am I being charged an extra pound when I haven't bought something worth that much?,extra_charge_on_statement
"I changed the currency, but why is it costing more?",card_payment_wrong_exchange_rate
i do not know what this charge is for,direct_debit_payment_not_recognised
My phone is missing or stolen.,lost_or_stolen_phone
What is a pending cash withdrawal?,pending_cash_withdrawal
Has my top-up gone through?,top_up_reverted
why verify the top up? it doesnt make sense,verify_top_up
Why am I getting declines when trying to make a purchase online?,declined_transfer
I don't have my mobile device and am unable to make the payment because I forgot my details.,lost_or_stolen_phone
"I tried to access money earlier but the machine seems not to be working. After looking, the transaction actually shows to still being process. Can you find out what is going on here? I don't want to be charged for some money I never got.",pending_cash_withdrawal
I recently transferred money to my account when will it show up?,balance_not_updated_after_bank_transfer
"After I deposited my cash, I still don't see it in my account.",balance_not_updated_after_cheque_or_cash_deposit
The card is non-functional.,card_not_working
Why is there a pending time on my transfer?,pending_transfer
"I tried transferring money to a beneficiary, however, I was unsuccessful.",beneficiary_not_allowed
"If I found an error in my account for a transaction I didn't make, how long to I have to dispute it?",direct_debit_payment_not_recognised
Explain to me why a transfer would be declined.,declined_transfer
I live in Germany. Is that one of the countries you are in? What other countries are you in?,country_support
I have a reverted top up I made and wanted to know why it didn't go through.,top_up_reverted
"I'm waiting on a top-up, its still pending",pending_top_up
I am still waiting for a refund,Refund_not_showing_up
I have a card that was deactivated can I reactivate it?,card_linking
I did not receive the correct amount for the exchange rate.,card_payment_wrong_exchange_rate
What do I do if my smart phone was stolen?,lost_or_stolen_phone
Please inform me how to get a new card as mine is about to expire.,card_about_to_expire
Help! When will the card arrive at my home?,card_delivery_estimate
If I need to top up with cash where should I look?,top_up_by_cash_or_cheque
My daughter needs an acount.,age_limit
How can I report that my card was stolen? I made a police report first.,lost_or_stolen_card
When I was in a restaurant today my card was declined and payment wouldn't go through and I need help. Can you fix this?,card_not_working
I'm not able to withdraw money from the ATM but I'm not sure why.,declined_cash_withdrawal
Am I allowed to carry an additional card?,getting_spare_card
I didn't make a payment that shows in my app.,card_payment_not_recognised
"Hey, I got charged extra for some reason when I purchased an app. Is this a hidden fee or something? I don't think it's very cool.",extra_charge_on_statement
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking
I want to get few more physical cards,getting_spare_card
Will I be charged for a cash withdrawal?,cash_withdrawal_charge
Why have I all of a sudden been charged for my ATM withdrawal? I thought the withdrawals were free because this is the first time I've ever had this problem.,cash_withdrawal_charge
Will I have to wait much longer for my new card to arrive?,card_arrival
I just received my card and I'd like to activate it.,activate_my_card
Hi. Please can you help me fix a double charge on my card? I'm looking at my transactions and this restaurant I went to earlier in the week has charged me twice! Please remove the additional charge for me.,transaction_charged_twice
Why doesn't my passcode work?,passcode_forgotten
"I usually don't get charged for transfers, why was I this month?",transfer_fee_charged
What is this fee for transferring money?,transfer_fee_charged
Please explain why my transfer attempt was declined. Thank you.,declined_transfer
Explain why I can't do a transfer to an account.,beneficiary_not_allowed
I would like to get your card in EU. Is that possible?,country_support
My credit card got declined for top up! What's going on? Can you check on why it didn't go through?,top_up_failed
Why is my physical card not working?,card_not_working
I didn't know I was going to get charged to use my card.,card_payment_fee_charged
"I have been waiting for my transfer, shouldn't it be here already?",transfer_timing
"The exchange rate given to me after a purchase, was incorrect",card_payment_wrong_exchange_rate
What should I do?  I topped off but the app reversed  it.,top_up_reverted
I am reluctant to use ATMs international because I don't get an accurate exchange rate,wrong_exchange_rate_for_cash_withdrawal
How can I update my personal information after moving?,edit_personal_details
"How long do transfers from a UK bank account usually take for you? I just made a transfer and I'm not seeing anything, wondering if it worked",balance_not_updated_after_bank_transfer
I need to change my personal details in my account.,edit_personal_details
where to i get my funds from?,verify_source_of_funds
My payment shows that it is pending will I be charged more money?,pending_transfer
Why won't you accept my payment? I keep trying with this card and it's not working.,declined_card_payment
Are cards delivered to my location?,order_physical_card
Someone else made a Direct Debit transaction on my account,direct_debit_payment_not_recognised
It declined my transfer.,declined_transfer
Please help me!  My physical card isn't working right.,card_not_working
"How can I close my account, I don't want it.",terminate_account
Is my daughter eligible to open an account?,age_limit
There is a payment showing as pending and hasn't posted for a few days.  When will it post?,pending_card_payment
I think a card payment I made was cancelled.,reverted_card_payment?
Does it cost extra to exchange foreign currencies?,exchange_charge
Can I add a card back to the app?,card_linking
How are foreign exchange rates determined?,exchange_rate
"My top up has been pending for an hour already, and I really need this to go through as soon as possible.  Can you help?",pending_top_up
Is the verification number on the top up card,verify_top_up
Do you guys accept cash? Because i deposited some this morning and I can't see it in my account.,balance_not_updated_after_cheque_or_cash_deposit
The app shows Direct Debit payments that I didn't make,direct_debit_payment_not_recognised
Can I order a disposable virtual card?,get_disposable_virtual_card
Will I be charged for adding money by transfer?,top_up_by_bank_transfer_charge
It appears my top-up has not gone through.,pending_top_up
Please help me figure out the reason for the odd withdrawal amount from my account?,cash_withdrawal_not_recognised
My top up hasn't gone through,pending_top_up
May I get an account for my daughter?,age_limit
What is the current exchange rate?,exchange_rate
What is the age requirement?,age_limit
I put some money in my account the other day but now its gone? Why is this?,top_up_reverted
I was recently charged for withdrawing money from my bank ATM. How can that be possible when I haven't been charged for using it before?,cash_withdrawal_charge
Help me activate my new card.,activate_my_card
I need to know which flat currencies are supported by you.,fiat_currency_support
"I requested a refund from a seller a while ago, but when I check my statements it doesn't show up. Can you help me get my refund.",Refund_not_showing_up
can i get a card if i live in the US?,country_support
How can I top up using google pay?,apple_pay_or_google_pay
I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,card_payment_wrong_exchange_rate
My Virtual card was rejected for a car rental. Why?,virtual_card_not_working
What is the formula for your exchange rate?,exchange_rate
In my account I noticed my ATM withdrawal is still pending,pending_cash_withdrawal
Where is my top-up verification code?,verify_top_up
when will I get my refund?,Refund_not_showing_up
It didn't give me my cash,wrong_amount_of_cash_received
I am still waiting on my bank transfer,balance_not_updated_after_bank_transfer
I did a transfer earlier but see that it failed to go through.,failed_transfer
You shorted me money when I tried to make a withdrawal.,wrong_amount_of_cash_received
"I was told to verify my identity, how do I do that?",verify_my_identity
I am unaware of what my password is.,passcode_forgotten
How long does it take for a bank transfer to show on my balance?,balance_not_updated_after_bank_transfer
I lost my phone! Will my card still work?,lost_or_stolen_phone
I had an unexpected fee,transfer_fee_charged
I want a mastercard,visa_or_mastercard
Do you work in Greece?,country_support
How come I have pending transfers?,pending_transfer
I made a card payment by my card but it failed. Please let me know when the payment will get completed as its still pending.,pending_card_payment
I swear that there are 2 payments on the app that I didn't make.  Could my card me stolen?  Please advise what I should do.,card_payment_not_recognised
"I would like to order a virtual card, where can I get one?",getting_virtual_card
Do you offer account services for children and teens?,age_limit
Can I use American Express?,supported_cards_and_currencies
Which type of card will I receive?,visa_or_mastercard
Can you send me more cards for my account?,getting_spare_card
What should I do if I have used all of my PIN tries?,pin_blocked
I must have entered my PIN wrong.,pin_blocked
What is the refund policy?,request_refund
When will my top up process?,pending_top_up
What do I do?  My card is broken.,card_not_working
"I need a second card, can I have more than one?",getting_spare_card
I make payments for my place abroad using this account and since i use it so frequently I was wondering why did the fees increase suddenly rather than decreasing? I would think customers like me should receive incentives for using your service,transfer_fee_charged
Why won't my card work.,card_not_working
I keep getting an error message when I'm trying to transfer funds! Why aren't you accepting that?,beneficiary_not_allowed
My topping up didn't go through.,top_up_failed
The amount of exchange was not correct for the item i bought.,card_payment_wrong_exchange_rate
What are the acceptable currencies for adding funds?,supported_cards_and_currencies
Why does a payment show up twice?,transaction_charged_twice
Which ATMs am I allowed to get money from?,atm_support
I live in the EU.  Can I order one of your cards?,country_support
Why are my payments not working and show pending?,pending_card_payment
how is it possible to add another card to account,getting_spare_card
Can I create my own top-up limit?,top_up_limits
Where is an ATM?,atm_support
How many incorrect attempts cause card to be blocked?,pin_blocked
"phone is at a hotel, can i still use app",lost_or_stolen_phone
My identity wasn't verified,unable_to_verify_identity
Can I add a card that I just found (again) to the app?,card_linking
I am perplexed. Why is it that I received an extremely wrong rate when I tried to use an ATM using a foreign currency?,wrong_exchange_rate_for_cash_withdrawal
I attempted to withdraw some money from an ATM this morning and received the wrong amount. Your app says I have enough money available in the account. Can someone tell me what's wrong?,wrong_amount_of_cash_received
I did a transfer but its still pending,pending_transfer
Please give me a Mastercard instead.,visa_or_mastercard
How can I move money from an account at another bank to this one?,transfer_into_account
How does on apply fora refund on an item he ordered? I ordere an item and have not received it yet so i want to cancel it and get a refund,request_refund
This is the first time I've tried to get my money out of an ATM and it didn't work. Please give me my money,declined_cash_withdrawal
"I was just shopping and my payment was declined in a store!  It was very embarrassing, what is going on and when will it be fixed?",declined_card_payment
My account isn't showing a transfer I made.,balance_not_updated_after_bank_transfer
Is there a charge for receiving money?,top_up_by_bank_transfer_charge
"The transfer keeps failing , I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, Would you please check the issue?",failed_transfer
"Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?",pending_cash_withdrawal
If I am running low on credit can I auto top up?,automatic_top_up
I'd like to transfer funds using my credit card.,topping_up_by_card
How many times can I enter a wrong PIN before it is blocked?,pin_blocked
Which countries are represented?,country_support
Why am I not allowed to verify my id?,unable_to_verify_identity
Is there a way I can have a mastercard?,visa_or_mastercard
What happens when I am charged twice?,transaction_charged_twice
HOW DO I TRANSFER MONEY FROM MY BANK ACCOUNT?,transfer_into_account
"My card payment is just showing up as pending since forever, what's going on with that, it should be going through at some point?",pending_card_payment
I was recently mugged and would like to know if I have to have access to the app to use your services and how I would go about setting up your services on a new device belonging to a current user?,lost_or_stolen_phone
I would like to move money from one account to another to top off my account. Can you explain how I can do that?,transfer_into_account
What am i missing to verify my id?,unable_to_verify_identity
Do top-ups have a limit?,top_up_limits
How do I open an account for my children?,age_limit
Hey there's a fee for a transfer on my account.  Why?!,transfer_fee_charged
WHAT IS THE MAIN REASON OF THIS PROBLEM,card_not_working
How long do transfers take to show up in my account?,balance_not_updated_after_bank_transfer
My accounts been charged a payment for something I didn't make.,direct_debit_payment_not_recognised
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",card_payment_wrong_exchange_rate
I made a transfer to my friend earlier and she hasn't received it yet.  What's the hold up?,transfer_not_received_by_recipient
"If I'm getting my identity verified, what all do I need?",verify_my_identity
The disposable cards - what are they for?,get_disposable_virtual_card
"My job requires me to do a lot of exchanging currency, and I was wondering about any possible discounts or lower prices.",exchange_charge
How can I tell if someone else is using my card?,compromised_card
what is source of my money,verify_source_of_funds
What is the max top-up?,top_up_limits
My beneficiary didn't receive my transfer,beneficiary_not_allowed
Are there any top-up limits involved?,top_up_limits
I have been charged a fee that I didn't know about. Why have you charged me extra for card payments?,card_payment_fee_charged
Why am I not able to withdraw cash from this ATM?,declined_cash_withdrawal
Please help!  I was mugged and everything stolen.  What do I do to stop them from accessing my account?,lost_or_stolen_phone
Would I be able to refund an item?,request_refund
Why wouldn't my contactless work for the metro?,contactless_not_working
I put money in my account a week ago but its still not there?? What happened to my money?,balance_not_updated_after_cheque_or_cash_deposit
Do you offer account's for minors?,age_limit
What is this extra fee on my statement.,extra_charge_on_statement
I have a problem with my account. I tried to transfer some funds and the message came back declined. Can you help me?,declined_transfer
I am looking to transfer some money from my other bank account into this one.,transfer_into_account
I left my card at a restaurant and now its missing.,lost_or_stolen_card
I wish to use my American Express to put funds into my account.,supported_cards_and_currencies
What is the reason my top-up is still pending?,pending_top_up
Do you offer a discount for those who perform frequent currency exchanges?,exchange_charge
What countries do your accounts send and receive to?,country_support
What are the age limits for your service?,age_limit
Explain the activation method for this card,activate_my_card
"Last Saturday, I made a payment and the exchange rate was wrong.  I was charged too much.",card_payment_wrong_exchange_rate
I attempted to enter my pin to many times.,pin_blocked
Could you tell me why my cash withdrawal was declined?,declined_cash_withdrawal
Are there limits with top-up?,top_up_limits
I want to cancel my purchase,request_refund
Will you accept my salary if it's in another currency?,receiving_money
Why is there a direct debit to my account? I didn't do that.,direct_debit_payment_not_recognised
Can you lookup my password?,passcode_forgotten
Why didn't my transfer complete?,failed_transfer
"I was charged a fee for the transfer, but can you tell me why?",transfer_fee_charged
Where's the money from my transfer from Europe?,transfer_timing
I don't know what a pending payment is.,pending_card_payment
I want to delete my account.,terminate_account
Is it possible for me to top up with Google Pay?,apple_pay_or_google_pay
I forgot my code,passcode_forgotten
How long does it take transfers from Europe to complete?,transfer_timing
Why is top-up verified?,verify_top_up
"I was told that withdrawing cash from the ATM is free, but I'm charged a fee. Why is this?",cash_withdrawal_charge
I didn't make the direct debit payment on my account.,direct_debit_payment_not_recognised
"If I can, I would like to get both Mastercard and Visa from you.",visa_or_mastercard
Can you help me reset my passcode? I forgot it.,passcode_forgotten
What fees are there for adding money using an international card,top_up_by_card_charge
Tell me what ATMs use this card.,atm_support
"Although I transferred some money, it has not as of yet, arrived.",balance_not_updated_after_bank_transfer
Is there any reason my cash withdrawal still shows as pending?,pending_cash_withdrawal
What is the charge for paying with my card?,card_payment_fee_charged
what are the exchange rates for foreign currency ATMs,wrong_exchange_rate_for_cash_withdrawal
IS there anywhere that a card cannot be delivered?,order_physical_card
I was charged multiple times at the same location at the same time,transaction_charged_twice
What fees are charged for a physical card?,order_physical_card
Can I change my PIN remotely?,change_pin
"If my card expires next month, will I need to order a new one?",card_about_to_expire
I am confused why there is cash I did not accept in my account,cash_withdrawal_not_recognised
What countries do your accounts support?,country_support
What ATMs use this card?,atm_support
I need to track the card sent to me.,card_arrival
There is unusual activity on my account and I believe someone took my card.,compromised_card
How do I find the code needed in order to verify my top-up card?,verify_top_up
You've incorrectly calculated the exchange rate for my cash withdrawal,wrong_exchange_rate_for_cash_withdrawal
I set up a payment to a new payee and sent some money but the person I'm sending it to has not received it.  Can you check where the money is?,transfer_not_received_by_recipient
want to know where funds come from,verify_source_of_funds
I added money to the card but the transaction didn't go through,pending_top_up
I've tried several times to make a payment and every time my card is declined? Could my card be locked? I don't know what to do.,declined_card_payment
It does not appear that my message went through.,top_up_failed
How long does transfers take?,balance_not_updated_after_bank_transfer
The app reverted my top up,top_up_reverted
Do you accept Visa or Mastercard?,visa_or_mastercard
Can i add a new currency to my account?,exchange_via_app
Why will my transfer not go through?!  Keep getting an error message.,beneficiary_not_allowed
What does it mean when it says I have a payment pending?,pending_card_payment
There's a payment in my history I don't recognize,card_payment_not_recognised
"If my funds are running low, will the app top up automatically?",automatic_top_up
I don't have my passcode to access the app.,passcode_forgotten
Can I get my money back on an item?,request_refund
Why cant I send money to a beneficiary?,beneficiary_not_allowed
